form_id	instruction_set	internal_name	mnemonic	alias_mnemonics	assembly_template	width	fixed_mask	fixed_value	fixed_bits	features	operation_id	condition_digest	assertions_digest	coverage_status	cdisasm_name	cdisasm_name_id	name_match_kind	name_match_rule	source_name_reference	success_cases	missing_cases	profile_cases
A32/dp/xldst/ldstxreg/STRH_r_A1_off	A32	STRH_r_A1_off	STRH		STRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__15><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]	32	0x0f700ff0	0x010000b0	15		STRH_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRH	49	exact		True	a32_strh_r_off_f1		
A32/dp/xldst/ldstxreg/STRH_r_A1_post	A32	STRH_r_A1_post	STRH		STRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__15>]<rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>	32	0x0f700ff0	0x000000b0	15		STRH_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRH	49	exact		True	a32_strh_r_post_f2		
A32/dp/xldst/ldstxreg/STRH_r_A1_pre	A32	STRH_r_A1_pre	STRH		STRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__15><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]<rule:BANG>	32	0x0f700ff0	0x012000b0	15		STRH_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRH	49	exact		True	a32_strh_r_pre_f3		
A32/dp/xldst/ldstxreg/LDRD_r_A1_off	A32	LDRD_r_A1_off	LDRD		LDRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__4><rule:COMMA><rule:Rt2__3><rule:COMMA>[<rule:Rn__19><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]	32	0x0f700ff0	0x010000d0	15		LDRD_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRD	1069	exact		True	a32_ldrd_r_off_f4		
A32/dp/xldst/ldstxreg/LDRD_r_A1_post	A32	LDRD_r_A1_post	LDRD		LDRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__4><rule:COMMA><rule:Rt2__3><rule:COMMA>[<rule:Rn__19>]<rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>	32	0x0f700ff0	0x000000d0	15		LDRD_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRD	1069	exact		True	a32_ldrd_r_post_f5		
A32/dp/xldst/ldstxreg/LDRD_r_A1_pre	A32	LDRD_r_A1_pre	LDRD		LDRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__4><rule:COMMA><rule:Rt2__3><rule:COMMA>[<rule:Rn__19><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]<rule:BANG>	32	0x0f700ff0	0x012000d0	15		LDRD_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRD	1069	exact		True	a32_ldrd_r_pre_f6		
A32/dp/xldst/ldstxreg/STRD_r_A1_off	A32	STRD_r_A1_off	STRD		STRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__4><rule:COMMA><rule:Rt2__3><rule:COMMA>[<rule:Rn__20><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]	32	0x0f700ff0	0x010000f0	15		STRD_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRD	1638	exact		True	a32_strd_r_off_f7		
A32/dp/xldst/ldstxreg/STRD_r_A1_post	A32	STRD_r_A1_post	STRD		STRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__4><rule:COMMA><rule:Rt2__3><rule:COMMA>[<rule:Rn__20>]<rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>	32	0x0f700ff0	0x000000f0	15		STRD_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRD	1638	exact		True	a32_strd_r_post_f8		
A32/dp/xldst/ldstxreg/STRD_r_A1_pre	A32	STRD_r_A1_pre	STRD		STRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__4><rule:COMMA><rule:Rt2__3><rule:COMMA>[<rule:Rn__20><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]<rule:BANG>	32	0x0f700ff0	0x012000f0	15		STRD_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRD	1638	exact		True	a32_strd_r_pre_f9		
A32/dp/xldst/ldstxreg/LDRH_r_A1_off	A32	LDRH_r_A1_off	LDRH		LDRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__21><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]	32	0x0f700ff0	0x011000b0	15		LDRH_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRH	27	exact		True	a32_ldrh_r_off_f10		
