iform	iclass	category	extension	isa_set	attributes	xed_descriptor_rows	coverage_status	cdisasm_name	cdisasm_name_id	name_match_kind	name_match_rule	source_name_reference	generated_fallback_assignment	success_cases	missing_cases	profile_cases
AAA	AAA	DECIMAL	BASE	I86		1	corpus_reachable	AAA	1	exact		True	True	legacy_aaa_exact		
AADD_MEM32_GPR32	AADD	LEGACY	RAO	RAO_INT	ATOMIC NOTSX REQUIRES_ALIGNMENT_4B	1	corpus_reachable	AADD	1198	exact		True	True	extra_rao_aadd_dword,extra_rao_aadd_mode16		extra_rao_diamond_rapids_gate
AADD_MEM64_GPR64	AADD	LEGACY	RAO	RAO_INT	ATOMIC NOTSX REQUIRES_ALIGNMENT_8B	1	corpus_reachable	AADD	1198	exact		True	True	extra_rao_aadd_qword		
AADD_MEMi32_GPR32i32_APX	AADD	APX	RAO	APX_F_RAO_INT	ATOMIC DISP8_NO_SCALE NOTSX REQUIRES_ALIGNMENT_4B	1	corpus_reachable	AADD	1198	exact		True	True	extra_apx_rao_aadd_dword,extra_apx_rao_address32,extra_apx_rao_egpr_u0_disp8,extra_apx_rao_egpr_u1_disp8		extra_apx_rao_apx_profile_gate,extra_apx_rao_diamond_rapids_gate
AADD_MEMi64_GPR64i64_APX	AADD	APX	RAO	APX_F_RAO_INT	ATOMIC DISP8_NO_SCALE NOTSX REQUIRES_ALIGNMENT_8B	1	corpus_reachable	AADD	1198	exact		True	True	extra_apx_rao_aadd_qword		
AAD_IMMb	AAD	DECIMAL	BASE	I86		1	corpus_reachable	AAD	2	exact		True	True	legacy_aad_imm8_exact		
AAM_IMMb	AAM	DECIMAL	BASE	I86		1	corpus_reachable	AAM	3	exact		True	True	legacy_aam_imm8_exact		
AAND_MEM32_GPR32	AAND	LEGACY	RAO	RAO_INT	ATOMIC NOTSX REQUIRES_ALIGNMENT_4B	1	corpus_reachable	AAND	1199	exact		True	True	extra_rao_aand_dword,extra_rao_aand_mode32		
AAND_MEM64_GPR64	AAND	LEGACY	RAO	RAO_INT	ATOMIC NOTSX REQUIRES_ALIGNMENT_8B	1	corpus_reachable	AAND	1199	exact		True	True	extra_rao_aand_qword		
AAND_MEMi32_GPR32i32_APX	AAND	APX	RAO	APX_F_RAO_INT	ATOMIC DISP8_NO_SCALE NOTSX REQUIRES_ALIGNMENT_4B	1	corpus_reachable	AAND	1199	exact		True	True	extra_apx_rao_aand_dword		
