alias_index	form_id	mnemonic	source_form_id	selectable	condition_status	preferred_status	depends_on_it_block
0	23	ldrd	A32/dp/xldst/ldstximm/LDRD_l_A1	1	exact	exact	0
1	24	ldrh	A32/dp/xldst/ldstximm/LDRH_l_A1	1	exact	exact	0
2	25	ldrsb	A32/dp/xldst/ldstximm/LDRSB_l_A1	1	exact	exact	0
3	26	ldrsh	A32/dp/xldst/ldstximm/LDRSH_l_A1	1	exact	exact	0
4	176	rrx	A32/dp/dpregis/logic3reg_immsh/MOV_r_A1_RRX	1	exact	exact	0
5	177	lsr	A32/dp/dpregis/logic3reg_immsh/MOV_r_A1	1	exact	exact	0
6	177	lsl	A32/dp/dpregis/logic3reg_immsh/MOV_r_A1	1	exact	exact	0
7	177	asr	A32/dp/dpregis/logic3reg_immsh/MOV_r_A1	1	exact	exact	0
8	177	ror	A32/dp/dpregis/logic3reg_immsh/MOV_r_A1	1	exact	exact	0
9	178	rrxs	A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1_RRX	1	exact	exact	0
10	179	asrs	A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1	1	exact	exact	0
11	179	rors	A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1	1	exact	exact	0
12	179	lsls	A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1	1	exact	exact	0
13	179	lsrs	A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1	1	exact	exact	0
14	210	asrs	A32/dp/dpregrs/logic3reg_regsh/MOVS_rr_A1	1	exact	exact	0
15	210	rors	A32/dp/dpregrs/logic3reg_regsh/MOVS_rr_A1	1	exact	exact	0
16	210	lsrs	A32/dp/dpregrs/logic3reg_regsh/MOVS_rr_A1	1	exact	exact	0
17	210	lsls	A32/dp/dpregrs/logic3reg_regsh/MOVS_rr_A1	1	exact	exact	0
18	211	ror	A32/dp/dpregrs/logic3reg_regsh/MOV_rr_A1	1	exact	exact	0
19	211	asr	A32/dp/dpregrs/logic3reg_regsh/MOV_rr_A1	1	exact	exact	0
20	211	lsl	A32/dp/dpregrs/logic3reg_regsh/MOV_rr_A1	1	exact	exact	0
