form_id	internal_name	mnemonic	assembly_template	feature_condition_id	condition_digest	preferred_digest	operation_id
A32/brblk/ldstexcept/RFEDA_A1_AS	A1B	RFEFA	RFEFA<rule:al_option_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice>	0	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	RFE
A32/brblk/ldstexcept/RFEDB_A1_AS	A1B	RFEEA	RFEEA<rule:al_option_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice>	0	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	RFE
A32/brblk/ldstexcept/RFEIA_A1_AS	A1B	RFEFD	RFEFD<rule:al_option_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice>	0	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	RFE
A32/brblk/ldstexcept/RFEIB_A1_AS	A1B	RFEED	RFEED<rule:al_option_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice>	0	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	RFE
A32/brblk/ldstm/LDMDA_A1	A1B	LDMFA	LDMFA<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice><rule:COMMA><rule:registers__2>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	LDMDA
A32/brblk/ldstm/LDMDB_A1	A1B	LDMEA	LDMEA<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice><rule:COMMA><rule:registers__4>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	LDMDB
A32/brblk/ldstm/LDMIB_A1	A1B	LDMED	LDMED<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice><rule:COMMA><rule:registers__2>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	LDMIB
A32/brblk/ldstm/LDM_A1	A1B	LDMFD	LDMFD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice__2><rule:COMMA><rule:registers__4>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	LDM
A32/brblk/ldstm/LDM_A1	POP	POP	POP<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:registers__5>	0	c91a2003a56b5adad16c2131f5c0f5ef5b723f35e4cc769f1d63bffb632c1b97	19884134700bb2410292b2185c63e4ecb1883d504f706fd17e7b04ce48cbd9d7	POP_LDM
A32/brblk/ldstm/STMDA_A1	A1B	STMED	STMED<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice><rule:COMMA><rule:registers__1>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	STMDA
A32/brblk/ldstm/STMDB_A1	A1B	STMFD	STMFD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice><rule:COMMA><rule:registers__3>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	STMDB
A32/brblk/ldstm/STMDB_A1	PUSH	PUSH	PUSH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:registers__7>	0	c91a2003a56b5adad16c2131f5c0f5ef5b723f35e4cc769f1d63bffb632c1b97	19884134700bb2410292b2185c63e4ecb1883d504f706fd17e7b04ce48cbd9d7	PUSH_STMDB
A32/brblk/ldstm/STMIB_A1	A1B	STMFA	STMFA<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice><rule:COMMA><rule:registers__1>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	STMIB
A32/brblk/ldstm/STM_A1	A1B	STMEA	STMEA<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rn__12><rule:bang_choice><rule:COMMA><rule:registers__3>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	STM
A32/cops_as/sysldst_mov64/ldstcp/LDC_l_A1	A1B	LDC	LDC<rule:cond_choice><rule:qw_option_choice><rule:SPACE>p14<rule:COMMA>c5<rule:COMMA>[PC<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm__100>]	0	2f9f1e4522686a73b4ee4ad219f928211382131e49f56a9aef35e2f379c527a6	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	LDC_l
A32/cops_as/sysldst_mov64/ldstcp/LDC_l_A1	A1C	LDC	LDC<rule:cond_choice><rule:qw_option_choice><rule:SPACE>p14<rule:COMMA>c5<rule:COMMA>[PC]<rule:COMMA><rule:option__5>	0	2f9f1e4522686a73b4ee4ad219f928211382131e49f56a9aef35e2f379c527a6	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	LDC_l
A32/cops_as/sysldst_mov64/ldstsimdfp/VLDM_A1	A1B	VLDMIA	VLDMIA<rule:cond_choice><rule:qw_option_choice><rule:dot_vstm_size_choice><rule:SPACE><rule:Rn__30><rule:bang_choice__3><rule:COMMA><rule:registers__11>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	VLDM
A32/cops_as/sysldst_mov64/ldstsimdfp/VLDM_A1	VPOP	VPOP	VPOP<rule:cond_choice><rule:qw_option_choice><rule:dot_vstm_size_choice><rule:SPACE><rule:registers__11>	0	05f1bd5296867ab30658a3bb8a39dd3c960ae7b8f9c9f2cd39bd422431502295	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	VPOP_VLDM
A32/cops_as/sysldst_mov64/ldstsimdfp/VLDM_A2	A2B	VLDMIA	VLDMIA<rule:cond_choice><rule:qw_option_choice><rule:dot_vstm_size_choice><rule:SPACE><rule:Rn__30><rule:bang_choice__3><rule:COMMA><rule:registers__10>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	VLDM
A32/cops_as/sysldst_mov64/ldstsimdfp/VLDM_A2	VPOP	VPOP	VPOP<rule:cond_choice><rule:qw_option_choice><rule:dot_vstm_size_choice><rule:SPACE><rule:registers__10>	0	05f1bd5296867ab30658a3bb8a39dd3c960ae7b8f9c9f2cd39bd422431502295	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	VPOP_VLDM
A32/cops_as/sysldst_mov64/ldstsimdfp/VLDR_l_A1_D	A1B	VLDR	VLDR<rule:cond_choice><rule:qw_option_choice><rule:dot_64_choice><rule:SPACE><rule:D_Vd><rule:COMMA>[PC<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm__97>]	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	VLDR_l
A32/cops_as/sysldst_mov64/ldstsimdfp/VLDR_l_A1_H	A1B	VLDR	VLDR<rule:cond_choice><rule:qw_option_choice><rule:DOT>16<rule:SPACE><rule:Vd_D><rule:COMMA>[PC<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm__96>]	35	8347c0620478aaf1f69a241bff60b0299127c09175134bd031a268c616ee6295	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	VLDR_l
A32/cops_as/sysldst_mov64/ldstsimdfp/VLDR_l_A1_S	A1B	VLDR	VLDR<rule:cond_choice><rule:qw_option_choice><rule:dot_32_choice><rule:SPACE><rule:Vd_D><rule:COMMA>[PC<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm__97>]	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	VLDR_l
A32/cops_as/sysldst_mov64/ldstsimdfp/VSTMDB_A1	VPUSH	VPUSH	VPUSH<rule:cond_choice><rule:qw_option_choice><rule:dot_vstm_size_choice><rule:SPACE><rule:registers__11>	0	39c4236ca3f174d43d728985c620554bcaa9fed5e6e5b1941946cc212d672ad6	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	VPUSH_VSTM
A32/cops_as/sysldst_mov64/ldstsimdfp/VSTMDB_A2	VPUSH	VPUSH	VPUSH<rule:cond_choice><rule:qw_option_choice><rule:dot_vstm_size_choice><rule:SPACE><rule:registers__10>	0	39c4236ca3f174d43d728985c620554bcaa9fed5e6e5b1941946cc212d672ad6	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	VPUSH_VSTM
A32/cops_as/sysldst_mov64/ldstsimdfp/VSTM_A1	A1B	VSTMIA	VSTMIA<rule:cond_choice><rule:qw_option_choice><rule:dot_vstm_size_choice><rule:SPACE><rule:Rn__29><rule:bang_choice__3><rule:COMMA><rule:registers__11>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	VSTM
A32/cops_as/sysldst_mov64/ldstsimdfp/VSTM_A2	A2B	VSTMIA	VSTMIA<rule:cond_choice><rule:qw_option_choice><rule:dot_vstm_size_choice><rule:SPACE><rule:Rn__29><rule:bang_choice__3><rule:COMMA><rule:registers__10>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	VSTM
A32/dp/dpimm/intdp2reg_imm/ADR_A1	ADD	ADD	ADD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rd__23><rule:COMMA>PC<rule:COMMA><rule:hash><rule:const__15>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	ADD_ADR
A32/dp/dpimm/intdp2reg_imm/ADR_A2	SUB	SUB	SUB<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rd__23><rule:COMMA>PC<rule:COMMA><rule:hash><rule:const__15>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	19e67cbf4fb3cadddf7ae850457e5e5cd7650f99b1d3f991f3cb6386711372f2	SUB_ADR
A32/dp/dpimm/movw/MOV_i_A2	A2B	MOVW	MOVW<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rd__25><rule:COMMA><rule:hash><rule:imm4_imm12>	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	6d4fd9a8b8f725b6cb56bd4cd617abedd8471eac33e0ebfb3717d13e52a18160	MOV_i
A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1	ASRS	ASRS	ASRS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__13><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__7>	0	79eae49490863f4a1c3fe2ab374b4cc5f8062cbf3ffd81b67446900a0f115cfd	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	ASRS_MOV_r
A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1	LSLS	LSLS	LSLS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__13><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__10>	0	909e233f461b6f63e83acce6a050b814b250911f40c0c007ce4a33aa3b4e2e55	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	LSLS_MOV_r
A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1	LSRS	LSRS	LSRS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__13><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__11>	0	7b708e9a66b4e03264f4ea760131067537822db8a2ba54e09abf2ffdc037d76e	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	LSRS_MOV_r
A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1	RORS	RORS	RORS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__13><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__9>	0	8eea5a0b953ac28e34841257de237152d739164c6fa2c0b28e9be63d42681ee6	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	RORS_MOV_r
A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1_RRX	RRXS	RRXS	RRXS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__13><rule:Rm__7>	0	e6cb07e5b374e375ad5518d7c0158432a0d49efdb841abbfa8f4e72e17c9e9ba	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	RRXS_MOV_r
A32/dp/dpregis/logic3reg_immsh/MOV_r_A1	ASR	ASR	ASR<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__14><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__7>	0	0054b31696def4896360f30eaa46f21eb1a343e9a74fcfdf19fde53648ace273	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	ASR_MOV_r
