form_id	instruction_set	minimum_architecture	required_features_all_atoms	source_form_id
1	A32	unresolved-strict		A32/dp/xldst/ldstxreg/STRH_r_A1_off
2	A32	unresolved-strict		A32/dp/xldst/ldstxreg/STRH_r_A1_post
3	A32	unresolved-strict		A32/dp/xldst/ldstxreg/STRH_r_A1_pre
4	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRD_r_A1_off
5	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRD_r_A1_post
6	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRD_r_A1_pre
7	A32	unresolved-strict		A32/dp/xldst/ldstxreg/STRD_r_A1_off
8	A32	unresolved-strict		A32/dp/xldst/ldstxreg/STRD_r_A1_post
9	A32	unresolved-strict		A32/dp/xldst/ldstxreg/STRD_r_A1_pre
10	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRH_r_A1_off
11	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRH_r_A1_post
12	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRH_r_A1_pre
13	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRSB_r_A1_off
14	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRSB_r_A1_post
15	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRSB_r_A1_pre
16	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRSH_r_A1_off
17	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRSH_r_A1_post
18	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRSH_r_A1_pre
19	A32	unresolved-strict		A32/dp/xldst/ldstxreg/STRHT_A2
20	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRHT_A2
21	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRSBT_A2
22	A32	unresolved-strict		A32/dp/xldst/ldstxreg/LDRSHT_A2
23	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRD_l_A1
24	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRH_l_A1
25	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRSB_l_A1
26	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRSH_l_A1
27	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRD_i_A1_off
28	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRD_i_A1_post
29	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRD_i_A1_pre
30	A32	unresolved-strict		A32/dp/xldst/ldstximm/STRH_i_A1_off
31	A32	unresolved-strict		A32/dp/xldst/ldstximm/STRH_i_A1_post
32	A32	unresolved-strict		A32/dp/xldst/ldstximm/STRH_i_A1_pre
33	A32	unresolved-strict		A32/dp/xldst/ldstximm/STRD_i_A1_off
34	A32	unresolved-strict		A32/dp/xldst/ldstximm/STRD_i_A1_post
35	A32	unresolved-strict		A32/dp/xldst/ldstximm/STRD_i_A1_pre
36	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRH_i_A1_off
37	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRH_i_A1_post
38	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRH_i_A1_pre
39	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRSB_i_A1_off
40	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRSB_i_A1_post
41	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRSB_i_A1_pre
42	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRSH_i_A1_off
43	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRSH_i_A1_post
44	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRSH_i_A1_pre
45	A32	unresolved-strict		A32/dp/xldst/ldstximm/STRHT_A1
46	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRHT_A1
47	A32	unresolved-strict		A32/dp/xldst/ldstximm/LDRSBT_A1
