leaf_index	instruction_set	width	fixed_mask	fixed_value	fixed_bits	internal_name	mnemonic	assembly_template	feature_condition_id	all_conditions_digest	assertions_digest	operation_id	alias_count	form_id	source_order
0	A32	32	0x0ff00010	0x00000000	9	AND_r_A1	AND	AND<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__2><rule:Rn__2><rule:COMMA><rule:Rm__4><rule:OPT_SPACE><rule:shift_option_amount_choice>	0	78eb77c57a497a5b97bf094c693f5eaf02d04c8691a3318d62dcb784a8bdb828	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	AND_r	0	A32/dp/dpregis/intdp3reg_immsh/AND_r_A1	124
1	A32	32	0x0ff00090	0x00000010	10	AND_rr_A1	AND	AND<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice><rule:Rn><rule:COMMA><rule:Rm><rule:COMMA><rule:shift_option__5><rule:OPT_SPACE><rule:Rs>	0	23f17431c4a6fc295d10a1509f63c370afc3cd2309d50c5d5d2d54f9712ba84f	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	AND_rr	0	A32/dp/dpregrs/intdp3reg_regsh/AND_rr_A1	188
2	A32	32	0x0ff00ff0	0x00000060	16	AND_r_A1_RRX	AND	AND<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__2><rule:Rn__2><rule:COMMA><rule:Rm__4><rule:COMMA>RRX	0	23f17431c4a6fc295d10a1509f63c370afc3cd2309d50c5d5d2d54f9712ba84f	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	AND_r	0	A32/dp/dpregis/intdp3reg_immsh/AND_r_A1_RRX	123
3	A32	32	0x0ff0f0f0	0x00000090	16	MUL_A1	MUL	MUL<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rd><rule:COMMA><rule:Rn__10><rule:rm_choice>	0	47ef860a52eed7732846ca5c9028b2c3710d279552f8aca13435d01dcc418126	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	MUL	0	A32/dp/mul_word/MUL_A1	49
4	A32	32	0x0f700ff0	0x000000b0	15	STRH_r_A1_post	STRH	STRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__15>]<rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>	0	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	STRH_r	0	A32/dp/xldst/ldstxreg/STRH_r_A1_post	1
5	A32	32	0x0f700ff0	0x000000d0	15	LDRD_r_A1_post	LDRD	LDRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__4><rule:COMMA><rule:Rt2__3><rule:COMMA>[<rule:Rn__19>]<rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>	0	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	LDRD_r	0	A32/dp/xldst/ldstxreg/LDRD_r_A1_post	4
6	A32	32	0x0f700ff0	0x000000f0	15	STRD_r_A1_post	STRD	STRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__4><rule:COMMA><rule:Rt2__3><rule:COMMA>[<rule:Rn__20>]<rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>	0	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	STRD_r	0	A32/dp/xldst/ldstxreg/STRD_r_A1_post	7
7	A32	32	0x0ff00010	0x00100000	9	ANDS_r_A1	ANDS	ANDS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__2><rule:Rn__2><rule:COMMA><rule:Rm__4><rule:OPT_SPACE><rule:shift_option_amount_choice>	0	78eb77c57a497a5b97bf094c693f5eaf02d04c8691a3318d62dcb784a8bdb828	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	AND_r	0	A32/dp/dpregis/intdp3reg_immsh/ANDS_r_A1	126
8	A32	32	0x0ff00090	0x00100010	10	ANDS_rr_A1	ANDS	ANDS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice><rule:Rn><rule:COMMA><rule:Rm><rule:COMMA><rule:shift_option__5><rule:OPT_SPACE><rule:Rs>	0	23f17431c4a6fc295d10a1509f63c370afc3cd2309d50c5d5d2d54f9712ba84f	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	AND_rr	0	A32/dp/dpregrs/intdp3reg_regsh/ANDS_rr_A1	187
9	A32	32	0x0ff00ff0	0x00100060	16	ANDS_r_A1_RRX	ANDS	ANDS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__2><rule:Rn__2><rule:COMMA><rule:Rm__4><rule:COMMA>RRX	0	23f17431c4a6fc295d10a1509f63c370afc3cd2309d50c5d5d2d54f9712ba84f	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	AND_r	0	A32/dp/dpregis/intdp3reg_immsh/ANDS_r_A1_RRX	125
