alias_index	leaf_index	form_id	internal_name	mnemonic	assembly_template	operation_id	condition_program_id	preferred_program_id	condition_digest	preferred_digest	source_form_id
0	22	23	A1B	LDRD	LDRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__3><rule:COMMA><rule:Rt2__2><rule:COMMA>[PC<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>]	LDRD_l	169	0	a3b54a0855bf9c68cc0a68335fdb749b2008892f9fff366cbb06b3dc875a6ada	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	A32/dp/xldst/ldstximm/LDRD_l_A1
1	23	24	A1B	LDRH	LDRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[PC<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>]	LDRH_l	201	0	24b45cc568ec3338f38cf12cb056edb8a658aee46c035d7893bb2860fb823de5	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	A32/dp/xldst/ldstximm/LDRH_l_A1
2	24	25	A1B	LDRSB	LDRSB<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[PC<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>]	LDRSB_l	201	0	24b45cc568ec3338f38cf12cb056edb8a658aee46c035d7893bb2860fb823de5	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	A32/dp/xldst/ldstximm/LDRSB_l_A1
3	25	26	A1B	LDRSH	LDRSH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[PC<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>]	LDRSH_l	201	0	24b45cc568ec3338f38cf12cb056edb8a658aee46c035d7893bb2860fb823de5	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	A32/dp/xldst/ldstximm/LDRSH_l_A1
4	175	176	RRX	RRX	RRX<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__14><rule:Rm__7>	RRX_MOV_r	191	1	7cc9fa055b62d1bbb6054b9ce756d95617af9fe97918ad6c8901480c7d3a7afc	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregis/logic3reg_immsh/MOV_r_A1_RRX
5	176	177	LSR	LSR	LSR<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__14><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__11>	LSR_MOV_r	174	1	2cdfa868ef5247b6c0f65d8e0663719e100f13f18a9e503743f6e412eea4703d	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregis/logic3reg_immsh/MOV_r_A1
6	176	177	LSL	LSL	LSL<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__14><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__10>	LSL_MOV_r	176	1	a622d009020c68084d3163cb67b309a8450f78951441d8172731b88ccf1a678c	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregis/logic3reg_immsh/MOV_r_A1
7	176	177	ASR	ASR	ASR<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__14><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__7>	ASR_MOV_r	175	1	0054b31696def4896360f30eaa46f21eb1a343e9a74fcfdf19fde53648ace273	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregis/logic3reg_immsh/MOV_r_A1
8	176	177	ROR	ROR	ROR<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__14><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__9>	ROR_MOV_r	177	1	db9350418f22a47ee1bfeb45fb2c6fe700ceae729fe247c09dee6240f34ab235	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregis/logic3reg_immsh/MOV_r_A1
9	177	178	RRXS	RRXS	RRXS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__13><rule:Rm__7>	RRXS_MOV_r	196	1	e6cb07e5b374e375ad5518d7c0158432a0d49efdb841abbfa8f4e72e17c9e9ba	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1_RRX
10	178	179	ASRS	ASRS	ASRS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__13><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__7>	ASRS_MOV_r	179	1	79eae49490863f4a1c3fe2ab374b4cc5f8062cbf3ffd81b67446900a0f115cfd	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1
11	178	179	RORS	RORS	RORS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__13><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__9>	RORS_MOV_r	181	1	8eea5a0b953ac28e34841257de237152d739164c6fa2c0b28e9be63d42681ee6	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1
12	178	179	LSLS	LSLS	LSLS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__13><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__10>	LSLS_MOV_r	180	1	909e233f461b6f63e83acce6a050b814b250911f40c0c007ce4a33aa3b4e2e55	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1
13	178	179	LSRS	LSRS	LSRS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice__13><rule:Rm__7><rule:COMMA><rule:hash><rule:imm__11>	LSRS_MOV_r	178	1	7b708e9a66b4e03264f4ea760131067537822db8a2ba54e09abf2ffdc037d76e	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregis/logic3reg_immsh/MOVS_r_A1
14	209	210	ASRS	ASRS	ASRS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice><rule:Rm__3><rule:COMMA><rule:Rs__3>	ASRS_MOV_rr	194	1	4c2b103ec0479bcf7f37123795298d7a3d2f117f51d92a0c151a274f2afea909	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregrs/logic3reg_regsh/MOVS_rr_A1
15	209	210	RORS	RORS	RORS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice><rule:Rm__3><rule:COMMA><rule:Rs__4>	RORS_MOV_rr	195	1	45e738c32fad6ff2821943a45ff0d8a750f643fd28bf2e67cfd88a5f924ade21	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregrs/logic3reg_regsh/MOVS_rr_A1
16	209	210	LSRS	LSRS	LSRS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice><rule:Rm__3><rule:COMMA><rule:Rs__3>	LSRS_MOV_rr	193	1	005d458fe0321b7458ae5712dd6c221691e14e3012df51b2a8c942f1730d603b	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregrs/logic3reg_regsh/MOVS_rr_A1
17	209	210	LSLS	LSLS	LSLS<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice><rule:Rm__3><rule:COMMA><rule:Rs__3>	LSLS_MOV_rr	192	1	723d3feebeaff59a07b28c2d476e83eeadc61c110068ab20d18975145335aaff	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregrs/logic3reg_regsh/MOVS_rr_A1
18	210	211	ROR	ROR	ROR<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:rd_choice><rule:Rm__3><rule:COMMA><rule:Rs__4>	ROR_MOV_rr	190	1	d5841360901961973f70b76fec95e133674c375bfc8c9f868f376f9ba4ead329	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	A32/dp/dpregrs/logic3reg_regsh/MOV_rr_A1
