binding_set_id	first_binding	binding_count	digest
0	0	12	13ceb28cca705d9cd169e00dda5b56bc319ef3adb31e0e99170d18ef52e13409
1	12	9	1cce4f67504644a0fe0cc2bd225fe92a126721f98425cc99463337907664ad32
2	21	10	0c63b9a65258320cebafeb8d297b965af33bad4ba266779cdc4e9e10abf56585
3	31	13	a528a49b0f0c5594b011bb2a1609bccbd1e4f4afe588909d33ddea698989e20d
4	44	9	591717cd1ca8ea0c623c2caa2bf4b25f4468076623f3c0d142855992b3cff312
5	53	12	481db82a1e647eaa5117298431f8f902415dea753ccb79e8b58212f074e67d5f
6	65	11	b43ca074aef7942f1c7fde64a9d3a2d99ca59b63e4cb078e66a970f86a21ce81
7	76	11	e399e5751999d37f8b5d3ab2e1a624b50c7ffcbb8dfacba966aff5a0035c5512
8	87	12	aed7a166f3847fc726c394775b7c7efd99475e614e063caa0669536a2c9057e9
9	99	11	80a518e10d1980991351fd690d3241132cf813936f49fd4a5a9659e40e69ca4a
10	110	7	40ea4dc39931854b3e24b225a1f7a8e88ddcf91d83ff9a923367ec173592bafa
11	117	12	91cb354016ac3be66b32c65361e92115a3080c4df9b258e809fb1af6a5974ff2
12	129	6	81042354d6310f03715171e9b94b90a919872b98420386bf4ba7e5748540e5d8
13	135	9	2934a92deee4d9e7a2fc4e36e1d8dca70d030dc68df952e0b3be5bd9a0bff4ca
14	144	9	cb0770e9c9eda63d5e5f830fca1fcbed10942f946be3035360e8dfc03548b43e
15	153	9	ec88da36250ee39f8556a094bdb592288aefb133c544f39973e5119353be7f55
16	162	9	c8e3f91a893fe60221ebaee0639e6ad82caeffe1dc59d23e5d60150d87619fe2
17	171	9	a1801a38621fef60c9e6205d955dd88fe0142ea6eb99aa005e03f19673d23797
18	180	15	aa5d2ec5f1146d4f30075ce8ffa9cac2e2ae5b584a229084be6b26d4a76ca95a
19	195	15	0d9421d61063e9cf2205ac53fdcef58045a240235c3e63673475aebddc5d3f7b
20	210	16	8bccc6e4273c844fca3aaa0c6ad2346b8bb8dfc8d814fd8b5d82de04c55bddea
