descriptor_index	iform_id	name_id	group_id	decode_bit_id	decode_bitmap_index	decode_bitmap_mask	iclass	isa_set
0	86	6	1	none	none	0x0000000000000000	ADD	I86
1	128	6	1	none	none	0x0000000000000000	ADD	I86
2	122	1201	1	none	none	0x0000000000000000	ADD_LOCK	I86
3	102	6	1	none	none	0x0000000000000000	ADD	I86
4	135	6	1	none	none	0x0000000000000000	ADD	I86
5	125	1201	1	none	none	0x0000000000000000	ADD_LOCK	I86
6	87	6	1	none	none	0x0000000000000000	ADD	I86
7	90	6	1	none	none	0x0000000000000000	ADD	I86
8	103	6	1	none	none	0x0000000000000000	ADD	I86
9	116	6	1	none	none	0x0000000000000000	ADD	I86
10	85	6	1	none	none	0x0000000000000000	ADD	I86
11	144	6	1	none	none	0x0000000000000000	ADD	I86
12	2478	142	1	none	none	0x0000000000000000	PUSH	I86
13	2297	137	1	none	none	0x0000000000000000	POP	I86
14	1888	131	1	none	none	0x0000000000000000	OR	I86
15	1930	131	1	none	none	0x0000000000000000	OR	I86
16	1924	1357	1	none	none	0x0000000000000000	OR_LOCK	I86
17	1904	131	1	none	none	0x0000000000000000	OR	I86
18	1937	131	1	none	none	0x0000000000000000	OR	I86
19	1927	1357	1	none	none	0x0000000000000000	OR_LOCK	I86
20	1889	131	1	none	none	0x0000000000000000	OR	I86
21	1892	131	1	none	none	0x0000000000000000	OR	I86
22	1905	131	1	none	none	0x0000000000000000	OR	I86
23	1918	131	1	none	none	0x0000000000000000	OR	I86
24	1887	131	1	none	none	0x0000000000000000	OR	I86
25	1946	131	1	none	none	0x0000000000000000	OR	I86
26	2476	142	1	none	none	0x0000000000000000	PUSH	I86
27	26	5	1	none	none	0x0000000000000000	ADC	I86
28	61	5	1	none	none	0x0000000000000000	ADC	I86
29	55	1200	1	none	none	0x0000000000000000	ADC_LOCK	I86
30	39	5	1	none	none	0x0000000000000000	ADC	I86
31	66	5	1	none	none	0x0000000000000000	ADC	I86
32	58	1200	1	none	none	0x0000000000000000	ADC_LOCK	I86
33	27	5	1	none	none	0x0000000000000000	ADC	I86
34	30	5	1	none	none	0x0000000000000000	ADC	I86
35	40	5	1	none	none	0x0000000000000000	ADC	I86
36	50	5	1	none	none	0x0000000000000000	ADC	I86
37	25	5	1	none	none	0x0000000000000000	ADC	I86
38	72	5	1	none	none	0x0000000000000000	ADC	I86
39	2486	142	1	none	none	0x0000000000000000	PUSH	I86
40	2303	137	1	none	none	0x0000000000000000	POP	I86
41	2812	157	1	none	none	0x0000000000000000	SBB	I86
42	2847	157	1	none	none	0x0000000000000000	SBB	I86
43	2841	1434	1	none	none	0x0000000000000000	SBB_LOCK	I86
44	2825	157	1	none	none	0x0000000000000000	SBB	I86
45	2852	157	1	none	none	0x0000000000000000	SBB	I86
46	2844	1434	1	none	none	0x0000000000000000	SBB_LOCK	I86
47	2813	157	1	none	none	0x0000000000000000	SBB	I86
48	2816	157	1	none	none	0x0000000000000000	SBB	I86
49	2826	157	1	none	none	0x0000000000000000	SBB	I86
50	2836	157	1	none	none	0x0000000000000000	SBB	I86
51	2811	157	1	none	none	0x0000000000000000	SBB	I86
52	2858	157	1	none	none	0x0000000000000000	SBB	I86
53	2477	142	1	none	none	0x0000000000000000	PUSH	I86
54	2296	137	1	none	none	0x0000000000000000	POP	I86
55	198	7	1	none	none	0x0000000000000000	AND	I86
56	240	7	1	none	none	0x0000000000000000	AND	I86
57	234	1210	1	none	none	0x0000000000000000	AND_LOCK	I86
58	214	7	1	none	none	0x0000000000000000	AND	I86
59	247	7	1	none	none	0x0000000000000000	AND	I86
60	237	1210	1	none	none	0x0000000000000000	AND_LOCK	I86
61	199	7	1	none	none	0x0000000000000000	AND	I86
62	202	7	1	none	none	0x0000000000000000	AND	I86
63	215	7	1	none	none	0x0000000000000000	AND	I86
64	228	7	1	none	none	0x0000000000000000	AND	I86
65	197	7	1	none	none	0x0000000000000000	AND	I86
66	256	7	1	none	none	0x0000000000000000	AND	I86
67	1089	51	1	none	none	0x0000000000000000	DAA	I86
68	3182	194	1	none	none	0x0000000000000000	SUB	I86
69	3224	194	1	none	none	0x0000000000000000	SUB	I86
70	3218	1446	1	none	none	0x0000000000000000	SUB_LOCK	I86
71	3198	194	1	none	none	0x0000000000000000	SUB	I86
