descriptor_index	iform_id	iclass_id	encoding_space	map	opcode	opcode_hex	iclass	iform	isa_set	extension	category	pattern	pattern_digest	attributes	mode	easz	eosz	prefix	has_modrm	mod_required	reg_required	rm_required	partial_opcode	rexw	rex2	evex_pp	u_bit	vl	nd	nf	undocumented	cpuid_digest	operand_digest	record_digest	source_order
0	86	6	legacy	0	0	0x00	ADD	ADD_GPR8_GPR8_00	I86	BASE	BINARY	0x00 MOD[0b11] MOD=3 REG[rrr] RM[nnn]	0e4e5a235b10cc45883cc6bea072781aaaf2b46ff45573d26ace1bf60e9b1fd3	BYTEOP	16,32,64	16,32,64	8		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	c097217f9f35546cbf164e5dd32c92c23829f2357d7521d1524ef450e9edf109	2e474eebbf2248e1f2625652886d51dc80bfd00a92c533f85c3b26144ee6ee1e	183
1	128	6	legacy	0	0	0x00	ADD	ADD_MEMb_GPR8	I86	BASE	BINARY	0x00 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=0	937912fb0a70a345e9c17d4038c70d4064a384429e6d1385e245251cb3a853b4	BYTEOP,LOCKABLE	16,32,64	16,32,64	8		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	59a62633cd8b4b56e35c329c0bc25bb0235bd5e3a83b86fe788e984bb766df98	bfb05a47c53295f44f500519071da0443b0aedc2691cbc3731adf747762c7ff9	182
2	122	1201	legacy	0	0	0x00	ADD_LOCK	ADD_LOCK_MEMb_GPR8	I86	BASE	BINARY	0x00 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=1	c1da3a1b1e55eddedfbac7219f6bc0fb5ce1a8b1c80aa40e0a00650231c3e924	BYTEOP,HLE_ACQ_ABLE,HLE_REL_ABLE,LOCKED	16,32,64	16,32,64	8		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	59a62633cd8b4b56e35c329c0bc25bb0235bd5e3a83b86fe788e984bb766df98	224c52edf24189aac3f9108ccc14cd4be8d593f16b8f2c4f8eb64d82280d6b4e	172
3	102	6	legacy	0	1	0x01	ADD	ADD_GPRv_GPRv_01	I86	BASE	BINARY	0x01 MOD[0b11] MOD=3 REG[rrr] RM[nnn]	e99305c26f6ee5baff77048e741a534539f5c08d30a23bc82b537d288c816e0f		16,32,64	16,32,64	16,32,64		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	7d143f10222d7c46cae6f8984cb52073470e843b30e83e94045d5e268f1ed05d	4d0067b4322d1c41dba88f9ebd4d991ff2b9f805cf9e97dd5b06f2ded0ee0705	185
4	135	6	legacy	0	1	0x01	ADD	ADD_MEMv_GPRv	I86	BASE	BINARY	0x01 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=0	9cac30d388400aa04cb4d9e0462ff50f35f1a5c8c44a4fe31128c425ae1da240	LOCKABLE	16,32,64	16,32,64	16,32,64		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	e6b52595889cc6daf2f2c73b41cd0de6df3d3f4fa9f4845dd807f57c64df679b	c3f92df8b0adefa07fb5d47be7971b935f775ecd8229dc33c2387208646a8807	184
5	125	1201	legacy	0	1	0x01	ADD_LOCK	ADD_LOCK_MEMv_GPRv	I86	BASE	BINARY	0x01 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=1	a2fe4dcd220ffd5f48976bf8d9de80283c603b22740b8f89a0556988afecd108	HLE_ACQ_ABLE,HLE_REL_ABLE,LOCKED	16,32,64	16,32,64	16,32,64		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	e6b52595889cc6daf2f2c73b41cd0de6df3d3f4fa9f4845dd807f57c64df679b	01029c04c5b6a0c835143d5a4efaccbf461f834ec427a3784b49c0be51bc886d	173
6	87	6	legacy	0	2	0x02	ADD	ADD_GPR8_GPR8_02	I86	BASE	BINARY	0x02 MOD[0b11] MOD=3 REG[rrr] RM[nnn]	415bf91447610438cac3516d55281d15ee393d88c1846943d2dd499751e06362	BYTEOP	16,32,64	16,32,64	8		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	1e32ccdc69cd666e8b2b859b25990f693525fbf1097a40494e979cdc4a065427	c8669a44d53201e4286eb9d9ac24fb46fac4ec113f29e7b85d7e52dff2192b45	187
7	90	6	legacy	0	2	0x02	ADD	ADD_GPR8_MEMb	I86	BASE	BINARY	0x02 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()	33373cf35d7ab011f92a17eeb2387c38fd21aac7a8fa198da6c66af88e2396d0	BYTEOP	16,32,64	16,32,64	8		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	273cbbcb799994754615266688f65d97db33969f181160ffffe2614d1b9015ad	359e9c0b70bab5e1c2599e54044b00546f291c5a87ee0272dbc696234b6e74d7	186
8	103	6	legacy	0	3	0x03	ADD	ADD_GPRv_GPRv_03	I86	BASE	BINARY	0x03 MOD[0b11] MOD=3 REG[rrr] RM[nnn]	a7bd0aa1529e177304fe1e228098676e20fcc0a2c68ab36a9bd87e838a0d1ca1		16,32,64	16,32,64	16,32,64		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	7ded301073542a9d834e2e2ce5c201ede5212adc7fc88a601bd916711e5580c4	b9cc1adaa9d965b7e6559fe4aa8f2416acb301d2b90b5529cddaeea9ce2edb59	189
9	116	6	legacy	0	3	0x03	ADD	ADD_GPRv_MEMv	I86	BASE	BINARY	0x03 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()	5e43e4049cca227857ae9fe41943d9926593670400e592a50192b17381158812		16,32,64	16,32,64	16,32,64		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	af2a0ee58450ce5712b92b0f1db0f9fb9ee03e583bbf65f404c07a1548e7baee	cb43d88c54763f4ddbe677e394af7cbb2567c42625d8b7c3fd87c1a09736a87f	188
