xed_index	isa_set	macro_token	group_token	group_id	group_allocation	decode_bit_token	decode_bit_id	decode_bitmap_index	decode_bitmap_mask	bit_allocation	record_count
0	3DNOW	3DNOW	3DNOW	16	existing	3DNOW	2	0	0x0000000000000004	existing	49
1	ACE_1	ACE_1	ACE_1	116	appended	ACE_1	64	1	0x0000000000000001	appended	25
2	ADOX_ADCX	ADOX_ADCX	ADOX_ADCX	117	appended	ADOX_ADCX	65	1	0x0000000000000002	appended	8
3	AES	AES	AESNI	34	existing_alias	AES	14	0	0x0000000000004000	existing	12
4	AMD	AMD	AMD	118	appended	AMD	66	1	0x0000000000000004	appended	2
5	AMD_INVLPGB	AMD_INVLPGB	AMD_INVLPGB	119	appended	AMD_INVLPGB	67	1	0x0000000000000008	appended	3
6	AMX_AVX512	AMX_AVX512	AMX_AVX512	101	existing	AMX_AVX512	50	0	0x0004000000000000	existing	12
7	AMX_BF16	AMX_BF16	AMX_BF16	87	existing	AMX_BF16	45	0	0x0000200000000000	existing	1
8	AMX_COMPLEX	AMX_COMPLEX	AMX_COMPLEX	98	existing	AMX_COMPLEX	47	0	0x0000800000000000	existing	2
9	AMX_FP16	AMX_FP16	AMX_FP16	93	existing	AMX_FP16	46	0	0x0000400000000000	existing	1
10	AMX_FP8	AMX_FP8	AMX_FP8	99	existing	AMX_FP8	48	0	0x0001000000000000	existing	4
11	AMX_INT8	AMX_INT8	AMX_INT8	86	existing	AMX_INT8	44	0	0x0000100000000000	existing	4
12	AMX_MOVRS	AMX_MOVRS	AMX_MOVRS	100	existing	AMX_MOVRS	49	0	0x0002000000000000	existing	2
13	AMX_TILE	AMX_TILE	AMX_TILE	85	existing	AMX_TILE	43	0	0x0000080000000000	existing	3
14	AMX_TILE_BASE	AMX_TILE_BASE	AMX_TILE_BASE	120	appended	AMX_TILE_BASE	68	1	0x0000000000000010	appended	4
15	APX_F	APX_F	APX_F	91	existing	APX	22	0	0x0000000000400000	existing	383
16	APX_F_ADX	APX_F_ADX	APX_F_ADX	121	appended	APX_F_ADX	69	1	0x0000000000000020	appended	8
17	APX_F_ADX_N3	APX_F_ADX_N3	APX_F_ADX_N3	122	appended	APX_F_ADX_N3	70	1	0x0000000000000040	appended	8
18	APX_F_AMX	APX_F_AMX	APX_F_AMX	123	appended	APX_F_AMX	71	1	0x0000000000000080	appended	3
19	APX_F_AMX_BASE	APX_F_AMX_BASE	APX_F_AMX_BASE	124	appended	APX_F_AMX_BASE	72	1	0x0000000000000100	appended	2
20	APX_F_AMX_MOVRS	APX_F_AMX_MOVRS	APX_F_AMX_MOVRS	125	appended	APX_F_AMX_MOVRS	73	1	0x0000000000000200	appended	2
21	APX_F_BMI1	APX_F_BMI1	APX_F_BMI1	126	appended	APX_F_BMI1	74	1	0x0000000000000400	appended	24
22	APX_F_BMI1_N3	APX_F_BMI1_N3	APX_F_BMI1_N3	127	appended	APX_F_BMI1_N3	75	1	0x0000000000000800	appended	24
23	APX_F_BMI2	APX_F_BMI2	APX_F_BMI2	128	appended	APX_F_BMI2	76	1	0x0000000000001000	appended	32
24	APX_F_BMI2_N3	APX_F_BMI2_N3	APX_F_BMI2_N3	129	appended	APX_F_BMI2_N3	77	1	0x0000000000002000	appended	4
25	APX_F_CET	APX_F_CET	APX_F_CET	130	appended	APX_F_CET	78	1	0x0000000000004000	appended	4
26	APX_F_CMPCCXADD	APX_F_CMPCCXADD	APX_F_CMPCCXADD	131	appended	APX_F_CMPCCXADD	79	1	0x0000000000008000	appended	32
27	APX_F_ENQCMD	APX_F_ENQCMD	APX_F_ENQCMD	132	appended	APX_F_ENQCMD	80	1	0x0000000000010000	appended	2
28	APX_F_INVPCID	APX_F_INVPCID	APX_F_INVPCID	133	appended	APX_F_INVPCID	81	1	0x0000000000020000	appended	1
29	APX_F_KOPB	APX_F_KOPB	APX_F_KOPB	134	appended	APX_F_KOPB	82	1	0x0000000000040000	appended	5
30	APX_F_KOPD	APX_F_KOPD	APX_F_KOPD	135	appended	APX_F_KOPD	83	1	0x0000000000080000	appended	5
31	APX_F_KOPQ	APX_F_KOPQ	APX_F_KOPQ	136	appended	APX_F_KOPQ	84	1	0x0000000000100000	appended	5
32	APX_F_KOPW	APX_F_KOPW	APX_F_KOPW	137	appended	APX_F_KOPW	85	1	0x0000000000200000	appended	5
33	APX_F_LZCNT	APX_F_LZCNT	APX_F_LZCNT	138	appended	APX_F_LZCNT	86	1	0x0000000000400000	appended	4
34	APX_F_LZCNT_N3	APX_F_LZCNT_N3	APX_F_LZCNT_N3	139	appended	APX_F_LZCNT_N3	87	1	0x0000000000800000	appended	4
35	APX_F_MOVBE	APX_F_MOVBE	APX_F_MOVBE	140	appended	APX_F_MOVBE	88	1	0x0000000001000000	appended	8
36	APX_F_MOVDIR64B	APX_F_MOVDIR64B	APX_F_MOVDIR64B	141	appended	APX_F_MOVDIR64B	89	1	0x0000000002000000	appended	1
37	APX_F_MOVDIRI	APX_F_MOVDIRI	APX_F_MOVDIRI	142	appended	APX_F_MOVDIRI	90	1	0x0000000004000000	appended	1
38	APX_F_MOVRS	APX_F_MOVRS	APX_F_MOVRS	143	appended	APX_F_MOVRS	91	1	0x0000000008000000	appended	3
39	APX_F_MSR_IMM	APX_F_MSR_IMM	APX_F_MSR_IMM	144	appended	APX_F_MSR_IMM	92	1	0x0000000010000000	appended	2
40	APX_F_N3	APX_F_N3	APX_F_N3	145	appended	APX_F_N3	93	1	0x0000000020000000	appended	1866
41	APX_F_POPCNT	APX_F_POPCNT	APX_F_POPCNT	146	appended	APX_F_POPCNT	94	1	0x0000000040000000	appended	4
42	APX_F_POPCNT_N3	APX_F_POPCNT_N3	APX_F_POPCNT_N3	147	appended	APX_F_POPCNT_N3	95	1	0x0000000080000000	appended	4
43	APX_F_RAO_INT	APX_F_RAO_INT	APX_F_RAO_INT	148	appended	APX_F_RAO_INT	96	1	0x0000000100000000	appended	8
44	APX_F_USER_MSR	APX_F_USER_MSR	APX_F_USER_MSR	149	appended	APX_F_USER_MSR	97	1	0x0000000200000000	appended	4
45	APX_F_VMX	APX_F_VMX	APX_F_VMX	150	appended	APX_F_VMX	98	1	0x0000000400000000	appended	2
46	AVX	AVX	AVX	37	existing	AVX	8	0	0x0000000000000100	existing	728
47	AVX10_2_BF16_128	AVX10_2_BF16_128	AVX10_2_BF16_128	151	appended	AVX10_2_BF16_128	99	1	0x0000000800000000	appended	56
48	AVX10_2_BF16_256	AVX10_2_BF16_256	AVX10_2_BF16_256	152	appended	AVX10_2_BF16_256	100	1	0x0000001000000000	appended	56
49	AVX10_2_BF16_512	AVX10_2_BF16_512	AVX10_2_BF16_512	153	appended	AVX10_2_BF16_512	101	1	0x0000002000000000	appended	56
50	AVX10_2_BF16_SCALAR	AVX10_2_BF16_SCALAR	AVX10_2_BF16_SCALAR	154	appended	AVX10_2_BF16_SCALAR	102	1	0x0000004000000000	appended	2
51	AVX10_MOVRS_128	AVX10_MOVRS_128	AVX10_MOVRS_128	155	appended	AVX10_MOVRS_128	103	1	0x0000008000000000	appended	4
52	AVX10_MOVRS_256	AVX10_MOVRS_256	AVX10_MOVRS_256	156	appended	AVX10_MOVRS_256	104	1	0x0000010000000000	appended	4
53	AVX10_MOVRS_512	AVX10_MOVRS_512	AVX10_MOVRS_512	157	appended	AVX10_MOVRS_512	105	1	0x0000020000000000	appended	4
54	AVX10_V2_AUX_128	AVX10_V2_AUX_128	AVX10_V2_AUX_128	158	appended	AVX10_V2_AUX_128	106	1	0x0000040000000000	appended	38
55	AVX10_V2_AUX_256	AVX10_V2_AUX_256	AVX10_V2_AUX_256	159	appended	AVX10_V2_AUX_256	107	1	0x0000080000000000	appended	38
56	AVX10_V2_AUX_512	AVX10_V2_AUX_512	AVX10_V2_AUX_512	160	appended	AVX10_V2_AUX_512	108	1	0x0000100000000000	appended	38
57	AVX2	AVX2	AVX2	46	existing	AVX2	9	0	0x0000000000000200	existing	286
58	AVX2GATHER	AVX2GATHER	AVX2GATHER	161	appended	AVX2GATHER	109	1	0x0000200000000000	appended	16
59	AVX512BW_128	AVX512BW_128	AVX512BW_128	162	appended	AVX512BW_128	110	1	0x0000400000000000	appended	172
60	AVX512BW_128N	AVX512BW_128N	AVX512BW_128N	163	appended	AVX512BW_128N	111	1	0x0000800000000000	appended	10
61	AVX512BW_256	AVX512BW_256	AVX512BW_256	164	appended	AVX512BW_256	112	1	0x0001000000000000	appended	172
62	AVX512BW_512	AVX512BW_512	AVX512BW_512	165	appended	AVX512BW_512	113	1	0x0002000000000000	appended	172
63	AVX512BW_KOPD	AVX512BW_KOPD	AVX512BW_KOPD	166	appended	AVX512BW_KOPD	114	1	0x0004000000000000	appended	19
64	AVX512BW_KOPQ	AVX512BW_KOPQ	AVX512BW_KOPQ	167	appended	AVX512BW_KOPQ	115	1	0x0008000000000000	appended	17
65	AVX512CD_128	AVX512CD_128	AVX512CD_128	168	appended	AVX512CD_128	116	1	0x0010000000000000	appended	10
66	AVX512CD_256	AVX512CD_256	AVX512CD_256	169	appended	AVX512CD_256	117	1	0x0020000000000000	appended	10
67	AVX512CD_512	AVX512CD_512	AVX512CD_512	170	appended	AVX512CD_512	118	1	0x0040000000000000	appended	10
68	AVX512DQ_128	AVX512DQ_128	AVX512DQ_128	171	appended	AVX512DQ_128	119	1	0x0080000000000000	appended	60
69	AVX512DQ_128N	AVX512DQ_128N	AVX512DQ_128N	172	appended	AVX512DQ_128N	120	1	0x0100000000000000	appended	12
70	AVX512DQ_256	AVX512DQ_256	AVX512DQ_256	173	appended	AVX512DQ_256	121	1	0x0200000000000000	appended	72
71	AVX512DQ_512	AVX512DQ_512	AVX512DQ_512	174	appended	AVX512DQ_512	122	1	0x0400000000000000	appended	98
72	AVX512DQ_KOPB	AVX512DQ_KOPB	AVX512DQ_KOPB	175	appended	AVX512DQ_KOPB	123	1	0x0800000000000000	appended	16
73	AVX512DQ_KOPW	AVX512DQ_KOPW	AVX512DQ_KOPW	176	appended	AVX512DQ_KOPW	124	1	0x1000000000000000	appended	2
74	AVX512DQ_SCALAR	AVX512DQ_SCALAR	AVX512DQ_SCALAR	177	appended	AVX512DQ_SCALAR	125	1	0x2000000000000000	appended	16
75	AVX512ER_512	AVX512ER_512	AVX512ER_512	178	appended	AVX512ER_512	126	1	0x4000000000000000	appended	18
76	AVX512ER_SCALAR	AVX512ER_SCALAR	AVX512ER_SCALAR	179	appended	AVX512ER_SCALAR	127	1	0x8000000000000000	appended	12
77	AVX512F_128	AVX512F_128	AVX512F_128	180	appended	AVX512F_128	128	2	0x0000000000000001	appended	485
78	AVX512F_128N	AVX512F_128N	AVX512F_128N	181	appended	AVX512F_128N	129	2	0x0000000000000002	appended	30
79	AVX512F_256	AVX512F_256	AVX512F_256	182	appended	AVX512F_256	130	2	0x0000000000000004	appended	517
80	AVX512F_512	AVX512F_512	AVX512F_512	183	appended	AVX512F_512	131	2	0x0000000000000008	appended	605
81	AVX512F_KOPW	AVX512F_KOPW	AVX512F_KOPW	184	appended	AVX512F_KOPW	132	2	0x0000000000000010	appended	15
82	AVX512F_SCALAR	AVX512F_SCALAR	AVX512F_SCALAR	185	appended	AVX512F_SCALAR	133	2	0x0000000000000020	appended	288
83	AVX512PF_512	AVX512PF_512	AVX512PF_512	186	appended	AVX512PF_512	134	2	0x0000000000000040	appended	16
84	AVX512_4FMAPS_512	AVX512_4FMAPS_512	AVX512_4FMAPS_512	187	appended	AVX512_4FMAPS_512	135	2	0x0000000000000080	appended	2
85	AVX512_4FMAPS_SCALAR	AVX512_4FMAPS_SCALAR	AVX512_4FMAPS_SCALAR	188	appended	AVX512_4FMAPS_SCALAR	136	2	0x0000000000000100	appended	2
86	AVX512_4VNNIW_512	AVX512_4VNNIW_512	AVX512_4VNNIW_512	189	appended	AVX512_4VNNIW_512	137	2	0x0000000000000200	appended	2
87	AVX512_BF16_128	AVX512_BF16_128	AVX512_BF16_128	190	appended	AVX512_BF16_128	138	2	0x0000000000000400	appended	6
88	AVX512_BF16_256	AVX512_BF16_256	AVX512_BF16_256	191	appended	AVX512_BF16_256	139	2	0x0000000000000800	appended	6
89	AVX512_BF16_512	AVX512_BF16_512	AVX512_BF16_512	192	appended	AVX512_BF16_512	140	2	0x0000000000001000	appended	6
90	AVX512_BITALG_128	AVX512_BITALG_128	AVX512_BITALG_128	193	appended	AVX512_BITALG_128	141	2	0x0000000000002000	appended	6
